id,Machine failure
136429,0.0002647273853277992
136430,0.0007516526330904892
136431,0.0003604563012661531
136432,0.00018707985832682567
136433,0.001279092288109559
136434,0.00030307672407920214
136435,0.0008496291050681651
136436,0.0007767552971621515
136437,0.0006527082487761255
136438,0.00012431954217764372
136439,0.0028999784261659225
136440,0.0005730596103358559
136441,0.0005892598968727275
136442,0.00015074499651153192
136443,0.00019047608404060555
136444,0.0014622172080438302
136445,0.00015481981323297778
136446,0.978333601683727
136447,7.02253978094085e-05
136448,0.0002679921596394789
136449,0.0011582814136496206
136450,0.0003621258446685797
136451,0.0016240845971539901
136452,0.056873119593482804
136453,0.001849938421708996
136454,0.00010493591720496309
136455,0.00013133704325181026
136456,0.00042008938872152644
136457,0.00030751737697510303
136458,0.0015485997513380023
136459,0.011982396895590762
136460,0.0003910303612303198
136461,0.0001246495098121367
136462,0.027541531840396073
136463,0.010766842061827805
136464,0.0006897375463146484
136465,0.0005043190213488828
136466,0.0017101207836134225
136467,0.004356884959097649
136468,0.0008872989988480955
136469,0.0016009342451069402
136470,0.00017903665110680767
136471,0.019132310162106415
136472,0.00017651634541542523
136473,0.0015575602661289498
136474,0.0006279637094958494
136475,0.0019555024545356322
136476,0.015132264310701431
136477,0.0007148766489642022
136478,0.001998372358582634
136479,0.00343925517631534
136480,0.003979730303209019
136481,0.0011825527347914513
136482,0.031125590277402852
136483,0.0014939768092929332
136484,0.00018484444216886823
136485,0.00070567654085303
136486,0.00010610676030173611
136487,3.50686017106279e-05
136488,0.0030844142072703274
136489,0.0009185609537838879
136490,0.010551970933730741
136491,0.009170177563297422
136492,0.00013057410102892972
136493,0.0012818479911522053
136494,0.0002218103506180199
136495,0.0005564470654563874
136496,0.0009921685682008669
136497,0.0004598857298669651
136498,0.0019064821585409
136499,0.0001468856870541505
136500,0.0010518112235824875
136501,0.0018376013013113126
136502,0.002961751945948912
136503,0.006175756039647016
136504,0.0022386681361714336
136505,0.0005816389703639315
136506,0.0011864828581365909
136507,0.0012850360616552018
136508,0.00302944862492046
136509,0.0029358920334179796
136510,2.7966571935725e-05
136511,0.0005929778035602789
136512,0.00011245426900776981
136513,0.0005951902662143629
136514,6.944743361120535e-05
136515,0.003308261769628553
136516,7.239585836543079e-05
136517,0.0005791415911718912
136518,4.4002779865447024e-05
136519,0.00014433315633666184
136520,0.0004298700736551692
136521,0.00018938409351876737
136522,0.007445152482628292
136523,0.00011524340847659816
136524,3.9340358060592155e-05
136525,0.000748960131275051
136526,0.003514256796933253
136527,0.00010524385358044126
136528,0.0016526850258238273
136529,0.0009054756018864822
136530,0.0017984613092949355
136531,0.00038901952837920584
136532,6.34889309560049e-05
136533,0.00639003735171921
136534,0.0003107693051317878
136535,7.367935325918e-05
136536,0.00015758990419190706
136537,0.00044556410265471846
136538,0.0005296170683274141
136539,0.0020666707558058195
136540,1.5593846310022155e-05
136541,0.00010581600957396012
136542,0.000568216533985416
136543,0.0004976193766023145
136544,0.00010028912488418944
136545,0.00021200694848910753
136546,0.00027614884918715233
136547,0.0005479045184391657
